Username,Repository,Percentage,Hash,Timestamp,Language,Star_List
facebook,react,86.16157712,c2034716a5bff586ab68c41a14139a535cbd788e,2019-08-12T22:07:52Z,JavaScript,"['12-08-2019', 126245]"
facebook,react,86.16157712,c2034716a5bff586ab68c41a14139a535cbd788e,2019-08-12T22:07:52Z,JavaScript,"['12-08-2019', 126245]"
facebook,react,87.45869134,9ae5e38f18b6e27dcddc7ecdfc38eefd678c095a,2019-07-24T23:06:39Z,JavaScript,"['24-07-2019', 125135]"
facebook,react,87.45147679,35d2b3bb5e01d8c388cb17a68608184dc7300892,2019-07-06T23:06:32Z,JavaScript,"['06-07-2019', 124085]"
facebook,react,85.07177033,689beef6f5d0adab166f5eb0aac59eba6100677a,2019-06-18T23:06:10Z,JavaScript,"['18-06-2019', 123114]"
facebook,react,85.08885299,88b39638206d71affb7ed796067b4f2124954c0a,2019-05-31T23:05:54Z,JavaScript,"['31-05-2019', 122022]"
facebook,react,84.75609756,05d08500b2d3bf7dbb68702068bade4f3dbcf8e4,2019-05-08T19:34:03Z,JavaScript,"['08-05-2019', 120380]"
facebook,react,84.44739683,3e2e930d62ac7166695e0c5b1538ebb7a41cd3da,2019-04-10T18:38:54Z,JavaScript,"['10-04-2019', 118446]"
facebook,react,85.14291017,daeda44d8f5abdb7354742bb69a967302d34d7f9,2019-03-19T21:00:00Z,JavaScript,"['19-03-2019', 116510]"
facebook,react,85.79025111,ba708fa79b3db6481b7886f9fdb6bb776d0c2fb9,2019-02-23T01:32:23Z,JavaScript,"['23-02-2019', 114708]"
facebook,react,88.63636364,9ff6132512c3efae2c5f9c76550c15d89588630c,2016-11-09T03:03:08Z,JavaScript,"['09-11-2016', 47766]"
facebook,react,87.24251846,547e059f0bc88e76cd738b01b76e777ff1b222a7,2019-01-07T16:35:14Z,JavaScript,"['07-01-2019', 110906]"
facebook,react,90.10798696,d14ba87b1bfed76900d6d25722f069003561e2e3,2018-11-29T20:11:03Z,JavaScript,"['29-11-2018', 108329]"
facebook,react,90.01948918,3ff2c7ccd4d174786aed0f16cc0dd784816ae977,2018-11-07T23:51:54Z,JavaScript,"['07-11-2018', 106643]"
facebook,react,90.02333074,9ea4bc6ed607b0bbd2cff7bbdd4608db99490a5f,2018-10-14T14:40:22Z,JavaScript,"['14-10-2018', 104785]"
facebook,react,89.63623885,2f54a0467b8b73dd14281bad8796c859ceaaef19,2018-09-15T15:23:52Z,JavaScript,"['15-09-2018', 102971]"
facebook,react,90.19700366,2967ebdbeabde4aab37b45946b891170c7670164,2018-08-28T17:22:12Z,JavaScript,"['28-08-2018', 101493]"
facebook,react,90.44339737,43a137d9c13064b530d95ba51138ec1607de2c99,2018-08-05T14:34:19Z,JavaScript,"['05-08-2018', 99764]"
facebook,react,90.54215429,ebbd2214326ca6a5f24f46ea7eaffc6cfabbbe1c,2018-07-06T23:14:17Z,JavaScript,"['06-07-2018', 97376]"
facebook,react,90.53290766,392530104c00c25074ce38e1f7e1dd363018c7ce,2018-06-11T23:36:38Z,JavaScript,"['11-06-2018', 90005]"
facebook,react,90.2284109,c0fe8d6f6942f5cbc93c09825e803ba8cf950522,2018-05-18T22:10:32Z,JavaScript,"['18-05-2018', 88106]"
facebook,react,90.01897533,5dcf93d146ccde90af2c442d6cb32b29efddb46b,2018-04-22T12:44:50Z,JavaScript,"['22-04-2018', 86169]"
facebook,react,90.01262626,59b39056d91787f6a3e4e0dfc0825c8687bd0af9,2018-03-29T22:32:23Z,JavaScript,"['29-03-2018', 84152]"
facebook,react,89.89606631,2cf9063318014dcc9a4839bb15ebb89a55198fce,2018-02-28T18:22:23Z,JavaScript,"['28-02-2018', 81591]"
